Serial No.,Movie Title,Release Month,Release Year,Genre,Type,Country of Origin,Language,Duration (minutes),Director,Cast,IMDb Rating,Rotten Tomatoes (%),Box Office Collection (in millions),Liked By (Number of People),Preferred by Generation,Age Suitability,Streaming Platform,Awards Won,Keywords / Tags,Recommendation Score
21,Movie 21,April,2012,Adventure,Movie,USA,English,159,Director X,Cast Y,9.3,78,,4469996,Gen X,PG-13,Prime Video,,"Adventure, Fiction",85
22,Movie 22,May,2010,Thriller,Movie,USA,English,143,Director X,Cast Y,6.1,99,2667,3828870,Millennials,R,HBO,,"Thriller, Fiction",80
23,Movie 23,February,1995,Fantasy,Movie,France,French,126,Director X,Cast Y,6.9,,1415,3662091,Boomers,R,Disney+,,"Fantasy, Fiction",91
24,Movie 24,March,1997,Thriller,Movie,France,French,87,Director X,Cast Y,7.5,,,71381,Millennials,PG-13,HBO,,"Thriller, Fiction",88
25,Movie 25,November,1998,Adventure,Movie,China,Mandarin,74,Director X,Cast Y,8.3,52,,1332029,Boomers,PG-13,Prime Video,,"Adventure, Fiction",71
26,Movie 26,June,1983,Sci-Fi,Movie,India,Hindi,63,Director X,Cast Y,6.1,59,,4113528,Gen Z,18+,HBO,,"Sci-Fi, Fiction",73
27,Vincenzo Cassano,June,1990,Action,web series,South Korea,Korean,94,Kim hee won,seong jeong gi,6.6,58,,2580960,Gen Z,R,Disney+,,"Action, Fiction",88
28,Movie 28,May,2013,Action,Movie,Japan,Japanese,63,Director X,Cast Y,7.8,,558,1287307,Gen Z,PG-13,Disney+,,"Action, Fiction",70
29,Movie 29,April,2024,Romance,Movie,Japan,Japanese,79,Director X,Cast Y,8.9,,1867,2414060,Millennials,18+,Hulu,,"Romance, Fiction",100
30,Movie 30,July,2009,Action,Movie,South Korea,Korean,107,Director X,Cast Y,9.2,81,2701,4423249,Boomers,16+,Hulu,,"Action, Fiction",77
31,Movie 31,May,2004,Sci-Fi,Movie,China,Mandarin,123,Director X,Cast Y,7.5,,,463640,Boomers,18+,Prime Video,,"Sci-Fi, Fiction",72
32,Movie 32,October,1987,Adventure,Movie,China,Mandarin,175,Director X,Cast Y,9.1,,,1414685,Gen X,18+,HBO,,"Adventure, Fiction",85
33,Movie 33,November,1999,Adventure,Movie,China,Mandarin,118,Director X,Cast Y,8.4,62,2195,4163349,Gen Z,18+,Hulu,,"Adventure, Fiction",92
34,Movie 34,October,2014,Romance,Movie,Japan,Japanese,147,Director X,Cast Y,8.2,,,4188101,Boomers,PG-13,Netflix,,"Romance, Fiction",71
35,Movie 35,February,2009,Comedy,Movie,South Korea,Korean,105,Director X,Cast Y,8.2,77,,4601185,Boomers,PG-13,Disney+,,"Comedy, Fiction",84
36,Movie 36,December,1998,Drama,Movie,China,Mandarin,159,Director X,Cast Y,6.1,55,,3309845,Millennials,U,Apple TV+,,"Drama, Fiction",70
37,Movie 37,December,1982,Action,Movie,South Korea,Korean,90,Director X,Cast Y,9,52,,3143288,Gen Z,18+,Netflix,,"Action, Fiction",95
38,Movie 38,December,2009,Sci-Fi,Movie,India,Hindi,138,Director X,Cast Y,6.5,,,2756785,Boomers,R,Netflix,,"Sci-Fi, Fiction",99
39,Movie 39,December,2015,Comedy,Movie,South Korea,Korean,104,Director X,Cast Y,9.5,,,698672,Gen X,U,Apple TV+,,"Comedy, Fiction",87
40,Movie 40,April,2010,Sci-Fi,Movie,India,Hindi,61,Director X,Cast Y,7.5,94,1445,4911664,Gen Z,18+,Apple TV+,,"Sci-Fi, Fiction",83
41,Movie 41,February,1990,Romance,Movie,South Korea,Korean,148,Director X,Cast Y,7.1,72,,3496627,Millennials,R,HBO,,"Romance, Fiction",84
42,Movie 42,August,2002,Comedy,Movie,USA,English,96,Director X,Cast Y,7.7,,2540,4620792,Gen Z,16+,Disney+,,"Comedy, Fiction",83
43,Movie 43,September,1980,Fantasy,Movie,France,French,146,Director X,Cast Y,7.7,,2337,729790,Millennials,U,Hulu,,"Fantasy, Fiction",82
44,Movie 44,February,2009,Drama,Movie,France,French,130,Director X,Cast Y,7,,,1120805,Boomers,16+,Netflix,,"Drama, Fiction",99
45,Movie 45,April,1993,Sci-Fi,Movie,France,French,93,Director X,Cast Y,8.1,,1089,832290,Boomers,U,Hulu,,"Sci-Fi, Fiction",93
46,Movie 46,August,1984,Comedy,Movie,France,French,165,Director X,Cast Y,8.3,85,,1927363,Boomers,16+,Prime Video,,"Comedy, Fiction",84
47,Movie 47,June,1987,Action,Movie,India,Hindi,112,Director X,Cast Y,6.9,,,798844,Gen X,U,Apple TV+,,"Action, Fiction",78
48,Movie 48,February,2004,Action,Movie,India,Hindi,76,Director X,Cast Y,8,91,,1106577,Gen X,U,Netflix,,"Action, Fiction",91
49,Movie 49,September,1995,Comedy,Movie,UK,English,144,Director X,Cast Y,8.6,,,562001,Gen X,16+,Prime Video,,"Comedy, Fiction",89
50,Movie 50,February,1980,Thriller,Movie,China,Mandarin,170,Director X,Cast Y,8,94,514,3433946,Millennials,16+,Prime Video,,"Thriller, Fiction",74
51,Movie 51,February,2012,Adventure,Movie,South Korea,Korean,160,Director X,Cast Y,6,89,,3173936,Gen Z,R,Netflix,,"Adventure, Fiction",80
52,Movie 52,February,2015,Fantasy,Movie,Japan,Japanese,114,Director X,Cast Y,8.4,71,,3923150,Millennials,PG-13,HBO,,"Fantasy, Fiction",93
53,Movie 53,January,1991,Sci-Fi,Movie,Japan,Japanese,115,Director X,Cast Y,9,,,1670762,Gen Z,R,Prime Video,,"Sci-Fi, Fiction",79
54,Movie 54,October,2014,Sci-Fi,Movie,India,Hindi,132,Director X,Cast Y,8,75,,2066224,Gen X,U,Disney+,,"Sci-Fi, Fiction",75
55,Movie 55,November,2019,Adventure,Movie,China,Mandarin,117,Director X,Cast Y,6.2,,,2453183,Boomers,R,HBO,,"Adventure, Fiction",75
56,Movie 56,August,2006,Romance,Movie,India,Hindi,159,Director X,Cast Y,7.4,,,4946155,Millennials,R,Prime Video,,"Romance, Fiction",82
57,Movie 57,July,1988,Action,Movie,France,French,52,Director X,Cast Y,6.9,70,,3828192,Gen Z,16+,Disney+,,"Action, Fiction",96
58,Movie 58,May,2012,Thriller,Movie,UK,English,138,Director X,Cast Y,6.4,91,,2119387,Millennials,18+,Disney+,,"Thriller, Fiction",94
59,Movie 59,December,1990,Drama,Movie,Japan,Japanese,155,Director X,Cast Y,7.6,86,1130,824406,Boomers,16+,Prime Video,,"Drama, Fiction",85
60,Movie 60,February,2015,Action,Movie,USA,English,95,Director X,Cast Y,8.9,,,4715685,Gen X,U,Apple TV+,,"Action, Fiction",90
61,Movie 61,November,2016,Action,Movie,India,Hindi,112,Director X,Cast Y,9.1,76,,2223710,Gen X,U,Disney+,,"Action, Fiction",97
62,Movie 62,November,1996,Comedy,Movie,South Korea,Korean,51,Director X,Cast Y,9.2,82,2648,2405670,Gen Z,R,HBO,,"Comedy, Fiction",96
63,Movie 63,May,2022,Fantasy,Movie,USA,English,79,Director X,Cast Y,9.2,,1395,2759621,Gen X,18+,Disney+,,"Fantasy, Fiction",71
64,Movie 64,June,2009,Adventure,Movie,South Korea,Korean,92,Director X,Cast Y,7,,,4638563,Gen Z,16+,HBO,,"Adventure, Fiction",74
65,Movie 65,January,2020,Romance,Movie,India,Hindi,166,Director X,Cast Y,8,60,,3270693,Millennials,R,Disney+,,"Romance, Fiction",91
66,Movie 66,December,2012,Action,Movie,China,Mandarin,123,Director X,Cast Y,8.3,,,319554,Boomers,16+,Hulu,,"Action, Fiction",84
67,Movie 67,February,2013,Sci-Fi,Movie,India,Hindi,137,Director X,Cast Y,9.2,94,1917,4786876,Gen Z,R,Hulu,,"Sci-Fi, Fiction",99
68,Movie 68,April,1994,Adventure,Movie,South Korea,Korean,59,Director X,Cast Y,9,68,683,308117,Millennials,18+,Apple TV+,,"Adventure, Fiction",86
69,Movie 69,February,1994,Action,Movie,France,French,151,Director X,Cast Y,7.1,,,4088462,Gen X,R,Hulu,,"Action, Fiction",88
70,Movie 70,October,1993,Comedy,Movie,France,French,126,Director X,Cast Y,9.4,81,,1016226,Millennials,18+,Hulu,,"Comedy, Fiction",70
71,Movie 71,February,2015,Adventure,Movie,India,Hindi,164,Director X,Cast Y,8.8,88,2711,658971,Boomers,18+,Netflix,,"Adventure, Fiction",87
72,Movie 72,June,2023,Drama,Movie,India,Hindi,61,Director X,Cast Y,7,87,,3570165,Gen Z,PG-13,HBO,,"Drama, Fiction",98
73,Movie 73,July,2000,Thriller,Movie,France,French,174,Director X,Cast Y,8.1,78,,1967722,Boomers,U,Hulu,,"Thriller, Fiction",90
74,Movie 74,September,2007,Thriller,Movie,Japan,Japanese,64,Director X,Cast Y,7.1,,2857,338806,Millennials,18+,Apple TV+,,"Thriller, Fiction",70
75,Movie 75,June,2008,Action,Movie,UK,English,108,Director X,Cast Y,6.9,,1313,4336579,Millennials,18+,HBO,,"Action, Fiction",72
76,Movie 76,February,1998,Thriller,Movie,UK,English,166,Director X,Cast Y,6.7,,,2861578,Gen Z,R,Disney+,,"Thriller, Fiction",96
77,Movie 77,November,1980,Comedy,Movie,China,Mandarin,166,Director X,Cast Y,8.8,84,,1821542,Gen X,PG-13,Prime Video,,"Comedy, Fiction",84
78,Movie 78,October,1986,Comedy,Movie,USA,English,140,Director X,Cast Y,9,83,,3559616,Boomers,16+,Apple TV+,,"Comedy, Fiction",78
79,Movie 79,July,1998,Comedy,Movie,Japan,Japanese,158,Director X,Cast Y,6.7,56,2103,2520010,Millennials,PG-13,Prime Video,,"Comedy, Fiction",76
80,Movie 80,December,1994,Adventure,Movie,India,Hindi,157,Director X,Cast Y,7.3,,2434,420103,Boomers,U,Hulu,,"Adventure, Fiction",84
81,Movie 81,July,2024,Action,Movie,India,Hindi,136,Director X,Cast Y,6.5,52,,4414572,Boomers,18+,Apple TV+,,"Action, Fiction",97
82,Movie 82,February,1998,Action,Movie,France,French,154,Director X,Cast Y,7.8,56,1413,4139900,Gen X,R,HBO,,"Action, Fiction",81
83,Movie 83,May,2014,Adventure,Movie,South Korea,Korean,124,Director X,Cast Y,7.9,,,2761836,Gen Z,16+,Apple TV+,,"Adventure, Fiction",73
84,Movie 84,July,2015,Fantasy,Movie,UK,English,92,Director X,Cast Y,6.2,55,1001,290979,Gen Z,R,Disney+,,"Fantasy, Fiction",78
85,Movie 85,October,1998,Fantasy,Movie,France,French,168,Director X,Cast Y,7.1,,,2629078,Boomers,PG-13,Netflix,,"Fantasy, Fiction",97
86,Movie 86,November,2011,Drama,Movie,China,Mandarin,79,Director X,Cast Y,6.4,91,2072,2456933,Millennials,U,HBO,,"Drama, Fiction",91
87,Movie 87,July,1988,Thriller,Movie,South Korea,Korean,80,Director X,Cast Y,8.8,,,1286453,Millennials,PG-13,Netflix,,"Thriller, Fiction",86
88,Movie 88,April,2007,Fantasy,Movie,USA,English,174,Director X,Cast Y,7,71,,4880231,Gen X,16+,Prime Video,,"Fantasy, Fiction",99
89,Movie 89,August,1992,Thriller,Movie,China,Mandarin,68,Director X,Cast Y,9.1,,,4136552,Boomers,U,Prime Video,,"Thriller, Fiction",87
90,Movie 90,March,2009,Drama,Movie,France,French,90,Director X,Cast Y,7.4,,,676563,Gen Z,16+,Netflix,,"Drama, Fiction",82
91,Movie 91,February,1993,Fantasy,Movie,India,Hindi,99,Director X,Cast Y,8.3,,,950373,Gen Z,PG-13,HBO,,"Fantasy, Fiction",81
92,Movie 92,March,2019,Adventure,Movie,South Korea,Korean,81,Director X,Cast Y,6,,2257,325449,Gen X,18+,Disney+,,"Adventure, Fiction",94
93,Movie 93,October,2007,Drama,Movie,France,French,105,Director X,Cast Y,7.7,99,1412,2186467,Gen Z,R,Apple TV+,,"Drama, Fiction",95
94,Movie 94,March,1982,Action,Movie,Japan,Japanese,117,Director X,Cast Y,8.1,78,589,4174666,Gen X,R,Disney+,,"Action, Fiction",84
95,Movie 95,August,2008,Thriller,Movie,India,Hindi,68,Director X,Cast Y,7.2,,128,3846245,Gen X,U,Prime Video,,"Thriller, Fiction",70
96,Movie 96,June,1982,Adventure,Movie,South Korea,Korean,148,Director X,Cast Y,6.4,53,2139,1749329,Millennials,18+,Hulu,,"Adventure, Fiction",87
97,Movie 97,July,1988,Comedy,Movie,Japan,Japanese,87,Director X,Cast Y,8.4,97,1548,4028386,Gen Z,R,Hulu,,"Comedy, Fiction",88
98,Movie 98,June,1999,Romance,Movie,Japan,Japanese,100,Director X,Cast Y,9.2,88,,2437577,Millennials,PG-13,Prime Video,,"Romance, Fiction",98
99,Movie 99,May,2000,Sci-Fi,Movie,France,French,139,Director X,Cast Y,6.7,,1775,2584123,Gen X,R,Hulu,,"Sci-Fi, Fiction",72
100,Movie 100,May,2011,Romance,Movie,China,Mandarin,117,Director X,Cast Y,8.6,97,,2329034,Gen X,18+,Hulu,,"Romance, Fiction",92
101,Movie 101,February,1996,Romance,Movie,South Korea,Korean,88,Director X,Cast Y,7.1,,,1692529,Gen Z,PG-13,HBO,,"Romance, Fiction",92
102,Movie 102,August,2024,Drama,Movie,USA,English,154,Director X,Cast Y,9.1,62,,701847,Gen X,PG-13,Disney+,,"Drama, Fiction",84
103,Movie 103,May,1993,Action,Movie,India,Hindi,80,Director X,Cast Y,6.8,80,,4335549,Boomers,18+,Disney+,,"Action, Fiction",88
104,Movie 104,December,2011,Romance,Movie,South Korea,Korean,165,Director X,Cast Y,6.5,95,567,2899415,Boomers,R,Prime Video,,"Romance, Fiction",94
105,Movie 105,November,2004,Drama,Movie,Japan,Japanese,48,Director X,Cast Y,9.4,98,871,3891103,Boomers,PG-13,HBO,,"Drama, Fiction",77
106,Movie 106,May,1992,Adventure,Movie,India,Hindi,109,Director X,Cast Y,7.1,,1701,4468450,Gen X,16+,Apple TV+,,"Adventure, Fiction",95
107,Movie 107,May,2023,Sci-Fi,Movie,UK,English,91,Director X,Cast Y,9,,2840,3004217,Gen X,16+,Disney+,,"Sci-Fi, Fiction",86
108,Movie 108,November,2020,Thriller,Movie,USA,English,146,Director X,Cast Y,8.1,,2798,919903,Gen Z,PG-13,HBO,,"Thriller, Fiction",95
109,Movie 109,May,1991,Thriller,Movie,France,French,169,Director X,Cast Y,7.1,,820,3063129,Millennials,16+,Hulu,,"Thriller, Fiction",80
110,Movie 110,February,2008,Drama,Movie,South Korea,Korean,158,Director X,Cast Y,6.4,59,,4787617,Gen X,PG-13,Hulu,,"Drama, Fiction",79
111,Movie 111,November,2011,Fantasy,Movie,India,Hindi,134,Director X,Cast Y,6.4,66,469,3712858,Gen X,18+,Disney+,,"Fantasy, Fiction",89
112,Movie 112,October,2011,Adventure,Movie,China,Mandarin,107,Director X,Cast Y,8.7,,,1374330,Gen X,U,Prime Video,,"Adventure, Fiction",88
113,Movie 113,November,2020,Romance,Movie,USA,English,160,Director X,Cast Y,7.2,,2796,3130709,Gen Z,PG-13,Apple TV+,,"Romance, Fiction",86
114,Movie 114,July,2010,Fantasy,Movie,France,French,167,Director X,Cast Y,8.1,,,3391533,Boomers,16+,Disney+,,"Fantasy, Fiction",77
115,Movie 115,January,2004,Sci-Fi,Movie,China,Mandarin,118,Director X,Cast Y,6.7,88,723,3289795,Boomers,18+,Disney+,,"Sci-Fi, Fiction",100
116,Movie 116,August,2005,Adventure,Movie,Japan,Japanese,150,Director X,Cast Y,8.7,75,,850670,Gen Z,U,Netflix,,"Adventure, Fiction",94
117,Movie 117,February,2024,Thriller,Movie,China,Mandarin,163,Director X,Cast Y,9.1,,,4854918,Millennials,PG-13,Netflix,,"Thriller, Fiction",83
118,Movie 118,August,2024,Fantasy,Movie,France,French,151,Director X,Cast Y,8.6,,167,2956098,Millennials,16+,HBO,,"Fantasy, Fiction",84
119,Movie 119,May,2013,Fantasy,Movie,USA,English,112,Director X,Cast Y,6.9,,2388,1310279,Boomers,PG-13,HBO,,"Fantasy, Fiction",80
120,Movie 120,November,2016,Drama,Movie,UK,English,63,Director X,Cast Y,7.7,87,2415,4237538,Boomers,U,Disney+,,"Drama, Fiction",80
121,Movie 121,March,2003,Fantasy,Movie,UK,English,134,Director X,Cast Y,9.4,77,1288,2474987,Boomers,U,Prime Video,,"Fantasy, Fiction",95
122,Movie 122,May,2019,Drama,Movie,Japan,Japanese,170,Director X,Cast Y,9.5,52,,2962634,Millennials,R,Apple TV+,,"Drama, Fiction",84
123,Movie 123,September,2014,Fantasy,Movie,South Korea,Korean,149,Director X,Cast Y,9,,605,244676,Millennials,18+,Netflix,,"Fantasy, Fiction",97
124,Movie 124,November,2012,Sci-Fi,Movie,UK,English,102,Director X,Cast Y,7.3,,,1951491,Boomers,16+,HBO,,"Sci-Fi, Fiction",77
125,Movie 125,July,1988,Action,Movie,UK,English,61,Director X,Cast Y,9.4,76,,3070050,Gen Z,R,HBO,,"Action, Fiction",71
126,Movie 126,May,1993,Action,Movie,France,French,78,Director X,Cast Y,7,,200,4734384,Gen X,16+,Netflix,,"Action, Fiction",85
127,Movie 127,March,1997,Action,Movie,China,Mandarin,144,Director X,Cast Y,6.1,,,3667797,Gen X,R,Apple TV+,,"Action, Fiction",88
128,Movie 128,July,2017,Sci-Fi,Movie,India,Hindi,92,Director X,Cast Y,8.5,,1057,2743224,Gen X,16+,Disney+,,"Sci-Fi, Fiction",85
129,Movie 129,November,2016,Action,Movie,USA,English,173,Director X,Cast Y,6.1,,,716708,Gen Z,16+,Hulu,,"Action, Fiction",73
130,Movie 130,February,1987,Drama,Movie,South Korea,Korean,73,Director X,Cast Y,8.7,74,2714,4655164,Gen Z,PG-13,Apple TV+,,"Drama, Fiction",88
131,Movie 131,November,1992,Drama,Movie,South Korea,Korean,82,Director X,Cast Y,6.3,72,,672473,Gen X,18+,Disney+,,"Drama, Fiction",82
132,Movie 132,November,1999,Adventure,Movie,China,Mandarin,59,Director X,Cast Y,7.1,,2501,3290102,Gen X,R,Hulu,,"Adventure, Fiction",79
133,Movie 133,April,2020,Sci-Fi,Movie,USA,English,127,Director X,Cast Y,8.2,79,,4130559,Gen Z,18+,Disney+,,"Sci-Fi, Fiction",100
134,Movie 134,March,2017,Thriller,Movie,UK,English,117,Director X,Cast Y,7.6,52,1310,3459167,Millennials,16+,Netflix,,"Thriller, Fiction",95
135,Movie 135,February,2008,Adventure,Movie,Japan,Japanese,143,Director X,Cast Y,8.7,,2728,2143244,Gen Z,18+,Disney+,,"Adventure, Fiction",83
136,Movie 136,December,2014,Adventure,Movie,South Korea,Korean,78,Director X,Cast Y,9.3,71,2869,1176792,Boomers,PG-13,Hulu,,"Adventure, Fiction",99
137,Movie 137,November,2023,Sci-Fi,Movie,UK,English,162,Director X,Cast Y,6.2,,,341079,Millennials,R,Hulu,,"Sci-Fi, Fiction",97
138,Movie 138,October,1985,Romance,Movie,France,French,81,Director X,Cast Y,8.3,,1166,412024,Millennials,R,Hulu,,"Romance, Fiction",98
139,Movie 139,January,2001,Comedy,Movie,South Korea,Korean,109,Director X,Cast Y,6.3,51,991,3274521,Millennials,R,HBO,,"Comedy, Fiction",80
140,Movie 140,May,1990,Action,Movie,USA,English,172,Director X,Cast Y,6.8,,152,3832299,Millennials,R,HBO,,"Action, Fiction",78
141,Movie 141,August,2013,Adventure,Movie,South Korea,Korean,76,Director X,Cast Y,7.7,,1646,249090,Gen X,16+,Prime Video,,"Adventure, Fiction",90
142,Movie 142,September,2022,Thriller,Movie,Japan,Japanese,86,Director X,Cast Y,6.3,,,4564362,Gen Z,PG-13,HBO,,"Thriller, Fiction",82
143,Movie 143,November,1997,Comedy,Movie,Japan,Japanese,132,Director X,Cast Y,6.4,,971,4308133,Millennials,R,Netflix,,"Comedy, Fiction",88
144,Movie 144,July,1992,Sci-Fi,Movie,South Korea,Korean,165,Director X,Cast Y,9.2,65,,3825187,Millennials,18+,Apple TV+,,"Sci-Fi, Fiction",79
145,Movie 145,February,2005,Fantasy,Movie,USA,English,138,Director X,Cast Y,6.9,,211,4483222,Gen Z,R,Hulu,,"Fantasy, Fiction",98
146,Movie 146,July,1987,Drama,Movie,South Korea,Korean,160,Director X,Cast Y,9.2,,2290,3068828,Gen Z,R,HBO,,"Drama, Fiction",90
147,Movie 147,March,1981,Action,Movie,UK,English,51,Director X,Cast Y,6.5,59,,1697516,Gen X,PG-13,Prime Video,,"Action, Fiction",82
148,Movie 148,November,2024,Drama,Movie,South Korea,Korean,72,Director X,Cast Y,8.9,80,,3613891,Millennials,PG-13,Apple TV+,,"Drama, Fiction",90
149,Movie 149,October,1992,Action,Movie,UK,English,167,Director X,Cast Y,6.9,50,985,2870014,Gen X,R,Netflix,,"Action, Fiction",79
150,Movie 150,December,2022,Thriller,Movie,UK,English,78,Director X,Cast Y,6.5,,1108,888857,Gen X,R,Hulu,,"Thriller, Fiction",97
151,squid game,July,2025,Thriller,Series,South Korea,Korean,18,Hwang Dong-hyuk,Lee byeon hoo,8.0/10,78,21.4,2867516,Gen Z,15+,Netflix,Golden Globe,"Survival, Thriller",95
152,The Dark Knight,July,2008,Action/Crime,Movie,USA,English,152,Christopher Nolan,"Christian Bale, Heath Ledger",9,94,1005,8500000,"Millennials, Gen Z",PG-13,HBO Max,Oscar,"Superhero, Crime",99
153,Her,October,2013,Romance/Sci-Fi,Movie,USA,English,126,Spike Jonze,"Joaquin Phoenix, Scarlett Johansson",8,95,48,2500000,"Gen Z, Millennials",R,Prime Video,Oscar,"Romance, AI",94
154,Eternal Sunshine of the Spotless Mind,March,2004,Romance/Sci-Fi,Movie,USA,English,108,Michel Gondry,"Jim Carrey, Kate Winslet",8.3,92,74,2000000,Millennials,R,Peacock,Oscar,"Romance, Memory",93
155,La La Land,December,2016,Romance/Musical,Movie,USA,English,128,Damien Chazelle,"Ryan Gosling, Emma Stone",8,91,447,4000000,"Gen Z, Millennials",PG-13,Netflix,Oscar,"Musical, Romance",96
156,Moonlight,October,2016,Drama,Movie,USA,English,111,Barry Jenkins,"Trevante Rhodes, Mahershala Ali",7.4,98,65,1800000,Gen Z,R,Paramount+,Oscar,"Identity, Drama",91
157,The Handmaiden,May,2016,Thriller/Romance,Movie,South Korea,Korean,145,Park Chan-wook,"Kim Min-hee, Ha Jung-woo",8.1,96,38,1700000,"Gen Z, Millennials",R,Prime Video,Baeksang,"Thriller, Romance",95
158,Okja,May,2017,Adventure/Drama,Movie,South Korea,Korean/English,120,Bong Joon-ho,"Ahn Seo-hyun, Tilda Swinton",7.3,86,2,900000,Gen Z,PG-13,Netflix,Cannes Nominee,"Adventure, Animal",90
159,Rang De Basanti,January,2006,Drama/History,Movie,India,Hindi,157,Rakeysh Omprakash Mehra,"Aamir Khan, Siddharth",8.1,94,22,1600000,Millennials,U/A,Netflix,Filmfare Award,"Patriotism, Youth",94
160,Piku,May,2015,Comedy/Drama,Movie,India,Hindi,123,Shoojit Sircar,"Deepika Padukone, Amitabh Bachchan",7.6,89,20,1300000,Millennials,U,SonyLiv,Filmfare Award,"Family, Comedy",92
